Symbol,Company Name,Sector/Index,Industry,Last Close Price ($),Fear & Greed Heatmap Value,Current Signal Status,Signal Start Date,Overlay,Overlay Start Date,30-Day Avg Volume,OVTLYR Signal Return (%),Capital Efficiency,Price Change,Fear & Greed Heatmap Direction,OC Channel,Unusual News Activity (UNA),Top Mentions Today (TMT),Ovtlyr Nine,Sector Relative Greed,Partial Data Stocks,Signal Type
"ACM","AECOM Common Stock","Industrials","Engineering & Construction","61.04","54.98","Sell","Aug 13, 2026","Downtrend","Aug 12, 2026","1758820.33","-24.66","0.2","-8.96","Moving Down","","",,="6/9","<1","false","Swing"
"ACV","Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest","Financials","Closed-End Fund - Equity","27.65","54.93","Buy","Aug 13, 2026","Uptrend","Aug 12, 2026","29525.27","-6.51","0.36","1.02","Moving Up","M1S1","",,="8/9","<1","false","Swing"
"ADP","Automatic Data Processing, Inc. Common Stock","Technology","Software - Application","269.33","97.66","Sell","Aug 13, 2026","Uptrend","Jun 30, 2026","2320541.7","138.35","6.66","-0.65","Moving Down","M1S1","",,="7/9","<1","false","Swing"
"AEO","American Eagle Outfitters, Inc. Common Stock","Discretionary","Apparel Retail","16.24","54.55","Sell","Aug 13, 2026","Neutral","Aug 11, 2026","4292050.43","187.71","41.13","-6.45","Moving Down","","",,="4/9","<1","false","Swing"
"AER","AerCap Holdings N.V. Ordinary Shares","Industrials","Rental & Leasing Services","150.25","56.61","Sell","Aug 13, 2026","Uptrend","Jul 02, 2026","1044111.8","-24.92","0.32","0.63","Moving Down","","",,="7/9","<1","false","Swing"
"AIO","Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest","Financials","Closed-End Fund - Equity","26.62","69.44","Buy","Aug 13, 2026","Uptrend","Aug 12, 2026","72648.57","14.62","0.79","1.22","Moving Up","M1S1","",,="9/9","<1","false","Swing"
"ALCO","Alico, Inc. Common Stock","Staples","Farm Products","41.58","28.4","Buy","Aug 13, 2026","Uptrend","Aug 12, 2026","20432.97","-20.17","0.23","0.43","Moving Up","","",,="7/9","<1","false","Swing"
"AMR","Alpha Metallurgical Resources, Inc. Common Stock","Materials","Coking Coal","159.52","48.68","Buy","Aug 13, 2026","Neutral","Aug 12, 2026","280220.9","47.08","0.24","3.72","Moving Up","","",,="8/9","<1","false","Swing"
"ARMK","Aramark Common Stock","Industrials","Specialty Business Services","60.35","77.75","Buy","Aug 13, 2026","Uptrend","Aug 11, 2026","2641935.07","24.94","1.83","-0.2","Moving Up","","",,="9/9","<1","false","Swing"
"ASML","ASML Holding N.V. New York Registry Shares","Technology","Semiconductor Equipment & Materials","1810.07","52.31","Buy","Aug 13, 2026","Uptrend","Aug 12, 2026","1849859.33","168.71","0.95","0.59","Moving Up","M1S1","",,="9/9","<1","false","Swing"
"AVPT","AvePoint, Inc. Class A Common Stock","Technology","Software - Infrastructure","13.02","71.18","Sell","Aug 13, 2026","Uptrend","Jun 29, 2026","2234083.27","172.95","4.31","-0.84","Moving Down","M1S1","",,="7/9","<1","false","Swing"
"BABA","Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share","Discretionary","Internet Retail","125.22","62.61","Sell","Aug 13, 2026","Uptrend","Jul 30, 2026","11146419.73","11.2","5.06","-2.06","Moving Down","","",,="5/9","<1","false","Swing"
"BANR","Banner Corporation Common Stock","Financials","Banks - Regional","73.42","68.28","Buy","Aug 13, 2026","Uptrend","Jun 09, 2026","399144.33","-5.11","0.36","0.91","Moving Up","M1S1","",,="9/9","<1","false","Swing"
"BATRK","Atlanta Braves Holdings, Inc. Series C Common Stock","Communication","Entertainment","53","31.44","Buy","Aug 13, 2026","Uptrend","Aug 12, 2026","495951.2","48.32","1.83","4","Moving Up","","",,="8/9","<1","false","Swing"
"BEKE","KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares)","Real Estate","Real Estate Services","17.42","59.74","Sell","Aug 13, 2026","Uptrend","Jul 27, 2026","3295901.8","36.1","10.15","2.71","Moving Down","","",,="5/9","<1","false","Swing"
"BELFA","Bel Fuse Inc. Class A Common Stock","Technology","Electronic Components","237.51","37.92","Buy","Aug 13, 2026","Uptrend","Aug 12, 2026","185203.73","189.95","0.32","1.33","Moving Up","M1S1","",,="9/9","<1","false","Swing"
"BILI","Bilibili Inc. American Depositary Shares","Communication","Internet Content & Information","17.61","33.72","Sell","Aug 13, 2026","Neutral","Aug 11, 2026","2124505.23","-41.14","5.04","-2.11","Moving Down","","",,="5/9","<1","false","Swing"
"BILL","BILL Holdings, Inc. Common Stock","Technology","Software - Application","48.7","75.21","Sell","Aug 13, 2026","Uptrend","Jul 01, 2026","2319335.23","-12.15","10.59","-1.58","Moving Down","M1S1","",,="7/9","<1","false","Swing"
"BLW","Blackrock Limited Duration Income Trust","Financials","Closed-End Fund - Debt","12.8","53.35","Buy","Aug 13, 2026","Uptrend","Aug 10, 2026","168294.3","12.72","1.2","1.51","Moving Up","M1S1","",,="8/9","<1","false","Swing"
"BNED","Barnes & Noble Education, Inc Common Stock","Discretionary","Specialty Retail","12.05","58.04","Sell","Aug 13, 2026","Uptrend","May 29, 2026","323341.47","-440.25","0.68","-4.14","Moving Down","","",,="5/9","<1","false","Swing"
"BTU","Peabody Energy Corporation Common Stock ","Energy","Thermal Coal","24.66","43.56","Buy","Aug 13, 2026","Uptrend","Aug 10, 2026","2462306.17","-173.57","0.13","1.02","Moving Up","M1S1","",,="9/9","<1","false","Swing"
"BUD","Anheuser-Busch Inbev SA Sponsored ADR (Belgium)","Staples","Beverages - Brewers","79.19","70.14","Sell","Aug 13, 2026","Downtrend","Aug 12, 2026","1878352.83","48.01","39.71","-1.76","Moving Down","","",,="4/9","<1","false","Swing"
